"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","334","GetFranchiseList - status is array","API_Regression_Suite","Fri Oct 24 10:42:44 UTC 2025","passed","Fri Oct 24 10:42:44 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","1534","GetFranchiseList - page_size is extremely large","API_Regression_Suite","Fri Oct 24 10:42:34 UTC 2025","failed","Fri Oct 24 10:42:36 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","411","GetFranchiseList - page_size is omitted","API_Regression_Suite","Fri Oct 24 10:42:34 UTC 2025","failed","Fri Oct 24 10:42:34 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","346","GetFranchiseList - status is empty string","API_Regression_Suite","Fri Oct 24 10:42:42 UTC 2025","passed","Fri Oct 24 10:42:42 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","406","GetFranchiseList - page_size is boolean true","API_Regression_Suite","Fri Oct 24 10:42:33 UTC 2025","failed","Fri Oct 24 10:42:33 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","427","GetFranchiseList - country is special characters","API_Regression_Suite","Fri Oct 24 10:42:39 UTC 2025","passed","Fri Oct 24 10:42:39 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","336","GetFranchiseList - page_size valid, country valid, status invalid enum","API_Regression_Suite","Fri Oct 24 10:42:47 UTC 2025","passed","Fri Oct 24 10:42:48 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Create a new franchise with valid data","1032","CreateFranchise - valid name with two words","API_Regression_Suite","Fri Oct 24 10:42:14 UTC 2025","passed","Fri Oct 24 10:42:15 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"Create a new franchise with valid data","1808","CreateFranchise - all valid fields","API_Regression_Suite","Fri Oct 24 10:42:12 UTC 2025","passed","Fri Oct 24 10:42:14 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","433","GetFranchiseList - country is longer than 2 chars","API_Regression_Suite","Fri Oct 24 10:42:39 UTC 2025","passed","Fri Oct 24 10:42:39 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
