"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","436","GetFranchiseList - page_size is null","API_Regression_Suite","Fri Oct 24 10:56:59 UTC 2025","failed","Fri Oct 24 10:57:00 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","475","GetFranchiseList - country is array","API_Regression_Suite","Fri Oct 24 10:57:07 UTC 2025","passed","Fri Oct 24 10:57:08 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","476","GetFranchiseList - country is number","API_Regression_Suite","Fri Oct 24 10:57:03 UTC 2025","passed","Fri Oct 24 10:57:04 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","1600","GetFranchiseList - page_size is extremely large","API_Regression_Suite","Fri Oct 24 10:57:01 UTC 2025","failed","Fri Oct 24 10:57:02 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","373","GetFranchiseList - all params missing","API_Regression_Suite","Fri Oct 24 10:57:12 UTC 2025","passed","Fri Oct 24 10:57:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","342","GetFranchiseList - status is array","API_Regression_Suite","Fri Oct 24 10:57:11 UTC 2025","passed","Fri Oct 24 10:57:11 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","350","GetFranchiseList - status is not an allowed value","API_Regression_Suite","Fri Oct 24 10:57:10 UTC 2025","passed","Fri Oct 24 10:57:10 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","339","GetFranchiseList - page_size valid, country valid, status invalid enum","API_Regression_Suite","Fri Oct 24 10:57:14 UTC 2025","passed","Fri Oct 24 10:57:15 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","354","GetFranchiseList - status is null","API_Regression_Suite","Fri Oct 24 10:57:08 UTC 2025","passed","Fri Oct 24 10:57:09 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","439","GetFranchiseList - country is lowercase","API_Regression_Suite","Fri Oct 24 10:57:07 UTC 2025","passed","Fri Oct 24 10:57:07 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
