"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1163","CreateFranchise - is_anchor = ""false"" (string)","API_Regression_Suite","Fri Oct 24 11:18:19 UTC 2025","passed","Fri Oct 24 11:18:20 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"","355","UpdateFranchise - email missing domain","API_Regression_Suite","Fri Oct 24 11:19:41 UTC 2025","passed","Fri Oct 24 11:19:41 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"","419","GetFranchiseList - country is special characters","API_Regression_Suite","Fri Oct 24 11:19:24 UTC 2025","passed","Fri Oct 24 11:19:24 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","587","CreateFranchise - city ID as boolean string","API_Regression_Suite","Fri Oct 24 11:17:18 UTC 2025","passed","Fri Oct 24 11:17:18 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"","341","UpdateFranchise - bank_name too short","API_Regression_Suite","Fri Oct 24 11:20:04 UTC 2025","passed","Fri Oct 24 11:20:05 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"","288","UpdateFranchise - map_address is null","API_Regression_Suite","Fri Oct 24 11:20:46 UTC 2025","failed","Fri Oct 24 11:20:47 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"","334","CreateFranchise - owner is invalid format (special chars)","API_Regression_Suite","Fri Oct 24 11:16:49 UTC 2025","passed","Fri Oct 24 11:16:50 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"","290","UpdateFranchise - latitude = ""abc""","API_Regression_Suite","Fri Oct 24 11:20:37 UTC 2025","failed","Fri Oct 24 11:20:37 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"","673","CreateFranchise - is_anchor = ""true"" (string)","API_Regression_Suite","Fri Oct 24 11:18:18 UTC 2025","passed","Fri Oct 24 11:18:19 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"","359","GetFranchiseList - page_size is negative","API_Regression_Suite","Fri Oct 24 11:19:17 UTC 2025","passed","Fri Oct 24 11:19:17 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
