"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","495","GetFranchiseList - country is longer than 2 chars","API_Regression_Suite","Fri Oct 24 11:34:20 UTC 2025","passed","Fri Oct 24 11:34:20 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","451","GetFranchiseList - country is SQL injection","API_Regression_Suite","Fri Oct 24 11:34:26 UTC 2025","passed","Fri Oct 24 11:34:26 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","458","GetFranchiseList - country is empty string","API_Regression_Suite","Fri Oct 24 11:34:19 UTC 2025","passed","Fri Oct 24 11:34:19 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","464","GetFranchiseList - page_size valid, country invalid, status valid","API_Regression_Suite","Fri Oct 24 11:34:29 UTC 2025","passed","Fri Oct 24 11:34:29 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","444","GetFranchiseList - country is special characters","API_Regression_Suite","Fri Oct 24 11:34:20 UTC 2025","passed","Fri Oct 24 11:34:20 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","473","GetFranchiseList - page_size is array","API_Regression_Suite","Fri Oct 24 11:34:17 UTC 2025","failed","Fri Oct 24 11:34:17 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","368","GetFranchiseList - status is number","API_Regression_Suite","Fri Oct 24 11:34:22 UTC 2025","passed","Fri Oct 24 11:34:23 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","432","GetFranchiseList - page_size is object","API_Regression_Suite","Fri Oct 24 11:34:17 UTC 2025","failed","Fri Oct 24 11:34:18 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","391","GetFranchiseList - all params as special chars","API_Regression_Suite","Fri Oct 24 11:34:28 UTC 2025","passed","Fri Oct 24 11:34:28 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Create a new franchise with valid data","1048","CreateFranchise - valid name with two words","API_Regression_Suite","Fri Oct 24 11:34:08 UTC 2025","passed","Fri Oct 24 11:34:09 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","394","GetFranchiseList - all params missing","API_Regression_Suite","Fri Oct 24 11:34:27 UTC 2025","passed","Fri Oct 24 11:34:27 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","453","GetFranchiseList - country is boolean","API_Regression_Suite","Fri Oct 24 11:34:19 UTC 2025","passed","Fri Oct 24 11:34:20 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","451","GetFranchiseList - page_size is boolean true","API_Regression_Suite","Fri Oct 24 11:34:13 UTC 2025","failed","Fri Oct 24 11:34:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","470","GetFranchiseList - page_size is omitted","API_Regression_Suite","Fri Oct 24 11:34:14 UTC 2025","failed","Fri Oct 24 11:34:14 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","356","GetFranchiseList - status is empty string","API_Regression_Suite","Fri Oct 24 11:34:23 UTC 2025","passed","Fri Oct 24 11:34:23 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","486","GetFranchiseList - page_size is special characters","API_Regression_Suite","Fri Oct 24 11:34:14 UTC 2025","failed","Fri Oct 24 11:34:15 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Create a new franchise with valid data","2011","CreateFranchise - all valid fields","API_Regression_Suite","Fri Oct 24 11:34:06 UTC 2025","passed","Fri Oct 24 11:34:08 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","471","GetFranchiseList - page_size is zero","API_Regression_Suite","Fri Oct 24 11:34:12 UTC 2025","failed","Fri Oct 24 11:34:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","363","GetFranchiseList - status is special characters","API_Regression_Suite","Fri Oct 24 11:34:24 UTC 2025","passed","Fri Oct 24 11:34:24 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
