"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","457","GetFranchiseList - status is null","API_Regression_Suite","Fri Oct 24 13:15:50 UTC 2025","passed","Fri Oct 24 13:15:50 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","444","GetFranchiseList - page_size and country valid, status invalid","API_Regression_Suite","Fri Oct 24 13:15:56 UTC 2025","passed","Fri Oct 24 13:15:57 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","576","GetFranchiseList - country is longer than 2 chars","API_Regression_Suite","Fri Oct 24 13:15:46 UTC 2025","passed","Fri Oct 24 13:15:47 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","445","GetFranchiseList - status is array","API_Regression_Suite","Fri Oct 24 13:15:52 UTC 2025","passed","Fri Oct 24 13:15:53 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","539","GetFranchiseList - page_size is zero","API_Regression_Suite","Fri Oct 24 13:15:37 UTC 2025","failed","Fri Oct 24 13:15:38 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","443","GetFranchiseList - status is not an allowed value","API_Regression_Suite","Fri Oct 24 13:15:51 UTC 2025","passed","Fri Oct 24 13:15:52 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","520","GetFranchiseList - page_size is boolean true","API_Regression_Suite","Fri Oct 24 13:15:38 UTC 2025","failed","Fri Oct 24 13:15:39 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","539","GetFranchiseList - page_size is null","API_Regression_Suite","Fri Oct 24 13:15:39 UTC 2025","failed","Fri Oct 24 13:15:39 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","582","GetFranchiseList - country is one character","API_Regression_Suite","Fri Oct 24 13:15:47 UTC 2025","passed","Fri Oct 24 13:15:47 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","572","GetFranchiseList - country is null","API_Regression_Suite","Fri Oct 24 13:15:44 UTC 2025","passed","Fri Oct 24 13:15:45 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
