"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","464","GetFranchiseList - page_size is boolean true","API_Regression_Suite","Fri Oct 24 10:16:35 UTC 2025","failed","Fri Oct 24 10:16:36 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","389","GetFranchiseList - status is empty string","API_Regression_Suite","Fri Oct 24 10:16:46 UTC 2025","passed","Fri Oct 24 10:16:46 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","392","GetFranchiseList - status is special characters","API_Regression_Suite","Fri Oct 24 10:16:46 UTC 2025","passed","Fri Oct 24 10:16:47 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","406","GetFranchiseList - page_size is negative","API_Regression_Suite","Fri Oct 24 10:16:34 UTC 2025","passed","Fri Oct 24 10:16:35 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","485","GetFranchiseList - country is empty string","API_Regression_Suite","Fri Oct 24 10:16:41 UTC 2025","passed","Fri Oct 24 10:16:41 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","390","GetFranchiseList - page_size and country valid, status invalid","API_Regression_Suite","Fri Oct 24 10:16:51 UTC 2025","passed","Fri Oct 24 10:16:51 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","390","GetFranchiseList - page_size valid, country valid, status invalid enum","API_Regression_Suite","Fri Oct 24 10:16:52 UTC 2025","passed","Fri Oct 24 10:16:52 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","557","GetFranchiseList - page_size is array","API_Regression_Suite","Fri Oct 24 10:16:39 UTC 2025","failed","Fri Oct 24 10:16:40 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","454","GetFranchiseList - country is SQL injection","API_Regression_Suite","Fri Oct 24 10:16:48 UTC 2025","passed","Fri Oct 24 10:16:49 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","439","GetFranchiseList - country is numeric string","API_Regression_Suite","Fri Oct 24 10:16:44 UTC 2025","passed","Fri Oct 24 10:16:44 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","481","GetFranchiseList - country is number","API_Regression_Suite","Fri Oct 24 10:16:40 UTC 2025","passed","Fri Oct 24 10:16:41 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","372","GetFranchiseList - status is boolean","API_Regression_Suite","Fri Oct 24 10:16:46 UTC 2025","passed","Fri Oct 24 10:16:46 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","701","GetFranchiseList - page_size is special characters","API_Regression_Suite","Fri Oct 24 10:16:37 UTC 2025","failed","Fri Oct 24 10:16:37 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","368","GetFranchiseList - all params as null","API_Regression_Suite","Fri Oct 24 10:16:49 UTC 2025","passed","Fri Oct 24 10:16:50 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","448","GetFranchiseList - country is null","API_Regression_Suite","Fri Oct 24 10:16:41 UTC 2025","passed","Fri Oct 24 10:16:41 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","483","GetFranchiseList - page_size valid, country invalid, status valid","API_Regression_Suite","Fri Oct 24 10:16:51 UTC 2025","passed","Fri Oct 24 10:16:52 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","504","GetFranchiseList - country is array","API_Regression_Suite","Fri Oct 24 10:16:44 UTC 2025","passed","Fri Oct 24 10:16:45 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","363","GetFranchiseByID","API_Regression_Suite","Fri Oct 24 10:16:33 UTC 2025","passed","Fri Oct 24 10:16:34 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseByID"
"","464","GetFranchiseList - page_size is SQL injection","API_Regression_Suite","Fri Oct 24 10:16:48 UTC 2025","failed","Fri Oct 24 10:16:48 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","477","GetFranchiseList - page_size is float","API_Regression_Suite","Fri Oct 24 10:16:34 UTC 2025","passed","Fri Oct 24 10:16:34 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","456","GetFranchiseList - page_size is omitted","API_Regression_Suite","Fri Oct 24 10:16:36 UTC 2025","failed","Fri Oct 24 10:16:37 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Validates GET /v1/franchise with dynamic parameters - Positive Test","1566","GetFranchiseList","API_Regression_Suite","Fri Oct 24 10:16:20 UTC 2025","passed","Fri Oct 24 10:16:22 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","GetFranchiseList"
"","391","GetFranchiseList - all params as empty string","API_Regression_Suite","Fri Oct 24 10:16:50 UTC 2025","passed","Fri Oct 24 10:16:50 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","438","GetFranchiseList - page_size is null","API_Regression_Suite","Fri Oct 24 10:16:36 UTC 2025","failed","Fri Oct 24 10:16:36 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","375","GetFranchiseList - all params missing","API_Regression_Suite","Fri Oct 24 10:16:50 UTC 2025","passed","Fri Oct 24 10:16:50 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","482","GetFranchiseList - country is special characters","API_Regression_Suite","Fri Oct 24 10:16:42 UTC 2025","passed","Fri Oct 24 10:16:42 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","391","GetFranchiseList - status is SQL injection","API_Regression_Suite","Fri Oct 24 10:16:49 UTC 2025","passed","Fri Oct 24 10:16:49 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","362","GetFranchiseList - status is number","API_Regression_Suite","Fri Oct 24 10:16:45 UTC 2025","passed","Fri Oct 24 10:16:45 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","387","GetFranchiseList - status is object","API_Regression_Suite","Fri Oct 24 10:16:47 UTC 2025","passed","Fri Oct 24 10:16:47 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","484","GetFranchiseList - page_size is object","API_Regression_Suite","Fri Oct 24 10:16:40 UTC 2025","failed","Fri Oct 24 10:16:40 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","438","GetFranchiseList - page_size is zero","API_Regression_Suite","Fri Oct 24 10:16:35 UTC 2025","failed","Fri Oct 24 10:16:35 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Create a new franchise with valid data","1778","CreateFranchise - all valid fields","API_Regression_Suite","Fri Oct 24 10:16:13 UTC 2025","passed","Fri Oct 24 10:16:14 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","498","GetFranchiseList - country is boolean","API_Regression_Suite","Fri Oct 24 10:16:41 UTC 2025","passed","Fri Oct 24 10:16:42 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
